,title,publication_date,abstract
738,Lattice engineering through nanoparticle–DNA frameworks,2016-02-22,"Advances in self-assembly over the past decade have demonstrated that nano- and microscale particles can be organized into a large diversity of ordered three-dimensional (3D) lattices. However, the ability to generate different desired lattice types from the same set of particles remains challenging. Here, we show that nanoparticles can be assembled into crystalline and open 3D frameworks by connecting them through designed DNA-based polyhedral frames. The geometrical shapes of the frames, combined with the DNA-assisted binding properties of their vertices, facilitate the well-defined topological connections between particles in accordance with frame geometry. With this strategy, different crystallographic lattices using the same particles can be assembled by introduction of the corresponding DNA polyhedral frames. This approach should facilitate the rational assembly of nanoscale lattices through the design of the unit cell."
739,Robust reconfigurable electromagnetic pathways within a photonic topological insulator,2016-02-22,"The discovery of topological photonic states has revolutionized our understanding of electromagnetic propagation and scattering. Endowed with topological robustness, photonic edge modes are not reflected from structural imperfections and disordered regions. Here we demonstrate robust propagation along reconfigurable pathways defined by synthetic gauge fields within a topological photonic metacrystal. The flow of microwave radiation in helical edge modes following arbitrary contours of the synthetic gauge field between bianisotropic metacrystal domains is unimpeded. This is demonstrated in measurements of the spectrum of transmission and time delay along the topological domain walls. These results provide a framework for freely steering electromagnetic radiation within photonic structures."
740,Magnetization switching by spin–orbit torque in an antiferromagnet–ferromagnet bilayer system,2016-02-15,"Spin–orbit torque (SOT)-induced magnetization switching shows promise for realizing ultrafast and reliable spintronics devices. Bipolar switching of the perpendicular magnetization by the SOT is achieved under an in-plane magnetic field collinear with an applied current. Typical structures studied so far comprise a nonmagnet/ferromagnet (NM/FM) bilayer, where the spin Hall effect in the NM is responsible for the switching. Here we show that an antiferromagnet/ferromagnet (AFM/FM) bilayer system also exhibits a SOT large enough to switch the magnetization of the FM. In this material system, thanks to the exchange bias of the AFM, we observe the switching in the absence of an applied field by using an antiferromagnetic PtMn and ferromagnetic Co/Ni multilayer with a perpendicular easy axis. Furthermore, tailoring the stack achieves a memristor-like behaviour where a portion of the reversed magnetization can be controlled in an analogue manner. The AFM/FM system is thus a promising building block for SOT devices as well as providing an attractive pathway towards neuromorphic computing."
741,Orbital symmetry of charge-density-wave order in La,2016-02-15,"Recent theories of charge-density-wave (CDW) order in high-temperature superconductors have predicted a primarily d CDW orbital symmetry. Here, we report on the orbital symmetry of CDW order in the canonical cuprate superconductors La1.875Ba0.125CuO4 (LBCO) and YBa2Cu3O6.67 (YBCO), using resonant soft X-ray scattering and a model mapped to the CDW orbital symmetry. From measurements sensitive to the O sublattice, we conclude that LBCO has predominantly s′ CDW orbital symmetry, in contrast to the d orbital symmetry recently reported in other cuprates. Furthermore, we show for YBCO that the CDW orbital symmetry differs along the a and b crystal axes and that these both differ from LBCO. This work highlights CDW orbital symmetry as an additional key property that distinguishes the different cuprate families. We discuss how the CDW symmetry may be related to the ‘1/8–anomaly’ and to static spin ordering."
742,Highly mobile ferroelastic domain walls in compositionally graded ferroelectric thin films,2016-02-15,"Domains and domain walls are critical in determining the response of ferroelectrics, and the ability to controllably create, annihilate, or move domains is essential to enable a range of next-generation devices. Whereas electric-field control has been demonstrated for ferroelectric 180° domain walls, similar control of ferroelastic domains has not been achieved. Here, using controlled composition and strain gradients, we demonstrate deterministic control of ferroelastic domains that are rendered highly mobile in a controlled and reversible manner. Through a combination of thin-film growth, transmission-electron-microscopy-based nanobeam diffraction and nanoscale band-excitation switching spectroscopy, we show that strain gradients in compositionally graded PbZr1−xTixO3 heterostructures stabilize needle-like ferroelastic domains that terminate inside the film. These needle-like domains are highly labile in the out-of-plane direction under applied electric fields, producing a locally enhanced piezoresponse. This work demonstrates the efficacy of novel modes of epitaxy in providing new modalities of domain engineering and potential for as-yet-unrealized nanoscale functional devices."
743,Structured light enables biomimetic swimming and versatile locomotion of photoresponsive soft microrobots,2016-02-15,"Microorganisms move in challenging environments by periodic changes in body shape. In contrast, current artificial microrobots cannot actively deform, exhibiting at best passive bending under external fields. Here, by taking advantage of the wireless, scalable and spatiotemporally selective capabilities that light allows, we show that soft microrobots consisting of photoactive liquid-crystal elastomers can be driven by structured monochromatic light to perform sophisticated biomimetic motions. We realize continuum yet selectively addressable artificial microswimmers that generate travelling-wave motions to self-propel without external forces or torques, as well as microrobots capable of versatile locomotion behaviours on demand. Both theoretical predictions and experimental results confirm that multiple gaits, mimicking either symplectic or antiplectic metachrony of ciliate protozoa, can be achieved with single microswimmers. The principle of using structured light can be extended to other applications that require microscale actuation with sophisticated spatiotemporal coordination for advanced microrobotic technologies."
744,Conductance saturation in a series of highly transmitting molecular junctions,2016-02-01,"Revealing the mechanisms of electronic transport through metal–molecule interfaces is of central importance for a variety of molecule-based devices. A key method for understanding these mechanisms is based on the study of conductance versus molecule length in molecular junctions. However, previous works focused on transport governed either by coherent tunnelling or hopping, both at low conductance. Here, we study the upper limit of conductance across metal–molecule–metal interfaces. Using highly conducting single-molecule junctions based on oligoacenes with increasing length, we find that the conductance saturates at an upper limit where it is independent of molecule length. With the aid of two prototype systems, in which the molecules are contacted by either Ag or Pt electrodes, we find two different possible origins for conductance saturation. The results are explained by an intuitive model, backed by ab initio calculations. Our findings shed light on the mechanisms that constrain the conductance of metal–molecule interfaces at the high-transmission limit."
745,Realistic molecular model of kerogen’s nanostructure,2016-02-01,"Despite kerogen’s importance as the organic backbone for hydrocarbon production from source rocks such as gas shale, the interplay between kerogen’s chemistry, morphology and mechanics remains unexplored. As the environmental impact of shale gas rises, identifying functional relations between its geochemical, transport, elastic and fracture properties from realistic molecular models of kerogens becomes all the more important. Here, by using a hybrid experimental–simulation method, we propose a panel of realistic molecular models of mature and immature kerogens that provide a detailed picture of kerogen’s nanostructure without considering the presence of clays and other minerals in shales. We probe the models’ strengths and limitations, and show that they predict essential features amenable to experimental validation, including pore distribution, vibrational density of states and stiffness. We also show that kerogen’s maturation, which manifests itself as an increase in the sp2/sp3 hybridization ratio, entails a crossover from plastic-to-brittle rupture mechanisms."
746,Approaching theoretical strength in glassy carbon nanolattices,2016-02-01,"The strength of lightweight mechanical metamaterials, which aim to exploit material-strengthening size effects by their microscale lattice structure, has been limited by the resolution of three-dimensional lithography technologies and their restriction to mainly polymer resins. Here, we demonstrate that pyrolysis of polymeric microlattices can overcome these limitations and create ultra-strong glassy carbon nanolattices with single struts shorter than 1 μm and diameters as small as 200 nm. They represent the smallest lattice structures yet produced—achieved by an 80% shrinkage of the polymer during pyrolysis—and exhibit material strengths of up to 3 GPa, corresponding approximately to the theoretical strength of glassy carbon. The strength-to-density ratios of the nanolattices are six times higher than those of reported microlattices. With a honeycomb topology, effective strengths of 1.2 GPa at 0.6 g cm−3 are achieved. Diamond is the only bulk material with a notably higher strength-to-density ratio."
747,Programming curvature using origami tessellations,2016-01-25,"Origami describes rules for creating folded structures from patterns on a flat sheet, but does not prescribe how patterns can be designed to fit target shapes. Here, starting from the simplest periodic origami pattern that yields one-degree-of-freedom collapsible structures—we show that scale-independent elementary geometric constructions and constrained optimization algorithms can be used to determine spatially modulated patterns that yield approximations to given surfaces of constant or varying curvature. Paper models confirm the feasibility of our calculations. We also assess the difficulty of realizing these geometric structures by quantifying the energetic barrier that separates the metastable flat and folded states. Moreover, we characterize the trade-off between the accuracy to which the pattern conforms to the target surface, and the effort associated with creating finer folds. Our approach enables the tailoring of origami patterns to drape complex surfaces independent of absolute scale, as well as the quantification of the energetic and material cost of doing so."
748,Interfacial electronic effects control the reaction selectivity of platinum catalysts,2016-01-25,"Tuning the electronic structure of heterogeneous metal catalysts has emerged as an effective strategy to optimize their catalytic activities. By preparing ethylenediamine-coated ultrathin platinum nanowires as a model catalyst, here we demonstrate an interfacial electronic effect induced by simple organic modifications to control the selectivity of metal nanocatalysts during catalytic hydrogenation. This we apply to produce thermodynamically unfavourable but industrially important compounds, with ultrathin platinum nanowires exhibiting an unexpectedly high selectivity for the production of N-hydroxylanilines, through the partial hydrogenation of nitroaromatics. Mechanistic studies reveal that the electron donation from ethylenediamine makes the surface of platinum nanowires highly electron rich. During catalysis, such an interfacial electronic effect makes the catalytic surface favour the adsorption of electron-deficient reactants over electron-rich substrates (that is, N-hydroxylanilines), thus preventing full hydrogenation. More importantly, this interfacial electronic effect, achieved through simple organic modifications, may now be used for the optimization of commercial platinum catalysts."
749,Energy landscapes and functions of supramolecular systems,2016-01-18,"By means of two supramolecular systems—peptide amphiphiles engaged in hydrogen-bonded β-sheets, and chromophore amphiphiles driven to assemble by π-orbital overlaps—we show that the minima in the energy landscapes of supramolecular systems are defined by electrostatic repulsion and the ability of the dominant attractive forces to trap molecules in thermodynamically unfavourable configurations. These competing interactions can be selectively switched on and off, with the order of doing so determining the position of the final product in the energy landscape. Within the same energy landscape, the peptide-amphiphile system forms a thermodynamically favoured product characterized by long bundled fibres that promote biological cell adhesion and survival, and a metastable product characterized by short monodisperse fibres that interfere with adhesion and can lead to cell death. Our findings suggest that, in supramolecular systems, functions and energy landscapes are linked, superseding the more traditional connection between molecular design and function."
750,Genesis and growth of extracellular-vesicle-derived microcalcification in atherosclerotic plaques,2016-01-11,"Clinical evidence links arterial calcification and cardiovascular risk. Finite-element modelling of the stress distribution within atherosclerotic plaques has suggested that subcellular microcalcifications in the fibrous cap may promote material failure of the plaque, but that large calcifications can stabilize it. Yet the physicochemical mechanisms underlying such mineral formation and growth in atheromata remain unknown. Here, by using three-dimensional collagen hydrogels that mimic structural features of the atherosclerotic fibrous cap, and high-resolution microscopic and spectroscopic analyses of both the hydrogels and of calcified human plaques, we demonstrate that calcific mineral formation and maturation results from a series of events involving the aggregation of calcifying extracellular vesicles, and the formation of microcalcifications and ultimately large calcification areas. We also show that calcification morphology and the plaque’s collagen content—two determinants of atherosclerotic plaque stability—are interlinked."
751,Defined three-dimensional microenvironments boost induction of pluripotency,2016-01-11,"Since the discovery of induced pluripotent stem cells (iPSCs), numerous approaches have been explored to improve the original protocol, which is based on a two-dimensional (2D) cell-culture system. Surprisingly, nothing is known about the effect of a more biologically faithful 3D environment on somatic-cell reprogramming. Here, we report a systematic analysis of how reprogramming of somatic cells occurs within engineered 3D extracellular matrices. By modulating microenvironmental stiffness, degradability and biochemical composition, we have identified a previously unknown role for biophysical effectors in the promotion of iPSC generation. We find that the physical cell confinement imposed by the 3D microenvironment boosts reprogramming through an accelerated mesenchymal-to-epithelial transition and increased epigenetic remodelling. We conclude that 3D microenvironmental signals act synergistically with reprogramming transcription factors to increase somatic plasticity."
752,Reconfigurable chiroptical nanocomposites with chirality transfer from the macro- to the nanoscale,2016-01-04,"Nanostructures with chiral geometries exhibit strong polarization rotation. However, achieving reversible modulation of chirality and polarization rotation in device-friendly solid-state films is difficult for rigid materials. Here, we describe nanocomposites, made by conformally coating twisted elastic substrates with films assembled layer-by-layer from plasmonic nanocolloids, whose nanoscale geometry and rotatory optical activity can be reversibly reconfigured and cyclically modulated by macroscale stretching, with up to tenfold concomitant increases in ellipticity. We show that the chiroptical activity at 660 nm of gold nanoparticle composites is associated with circular extinction from linear effects. The polarization rotation at 550 nm originates from the chirality of nanoparticle chains with an S-like shape that exhibit a non-planar buckled geometry, with the handedness of the substrate’s macroscale twist determining the handedness of the S-like chains. Chiroptical effects at the nexus of mechanics, excitonics and plasmonics open new operational principles for optical and optoelectronic devices from nanoparticles, carbon nanotubes and other nanoscale components."
753,Microstructural heterogeneity directs micromechanics and mechanobiology in native and engineered fibrocartilage,2016-01-04,"Treatment strategies to address pathologies of fibrocartilaginous tissue are in part limited by an incomplete understanding of structure–function relationships in these load-bearing tissues. There is therefore a pressing need to develop micro-engineered tissue platforms that can recreate the highly inhomogeneous tissue microstructures that are known to influence mechanotransductive processes in normal and diseased tissue. Here, we report the quantification of proteoglycan-rich microdomains in developing, ageing and diseased fibrocartilaginous tissues, and the impact of these microdomains on endogenous cell responses to physiologic deformation within a native-tissue context. We also developed a method to generate heterogeneous tissue-engineered constructs (hetTECs) with non-fibrous proteoglycan-rich microdomains engineered into the fibrous structure, and show that these hetTECs match the microstructural, micromechanical and mechanobiological benchmarks of native tissue. Our tissue-engineered platform should facilitate the study of the mechanobiology of developing, homeostatic, degenerating and regenerating fibrous tissues."
754,Adsorption of water at the SrO surface of ruthenates,2015-12-21,"Although perovskite oxides hold promise in applications ranging from solid oxide fuel cells to catalysts, their surface chemistry is poorly understood at the molecular level. Here we follow the formation of the first monolayer of water at the (001) surfaces of Srn+1RunO3n+1 (n = 1, 2) using low-temperature scanning tunnelling microscopy, X-ray photoelectron spectroscopy, and density functional theory. These layered perovskites cleave between neighbouring SrO planes, yielding almost ideal, rocksalt-like surfaces. An adsorbed monomer dissociates and forms a pair of hydroxide ions. The OH stemming from the original molecule stays trapped at Sr–Sr bridge positions, circling the surface OH with a measured activation energy of 187 ± 10 meV. At higher coverage, dimers of dissociated water assemble into one-dimensional chains and form a percolating network where water adsorbs molecularly in the gaps. Our work shows the limitations of applying surface chemistry concepts derived for binary rocksalt oxides to perovskites."
755,Water reduction by a p-GaInP,2015-12-21,"Producing hydrogen through solar water splitting requires the coverage of large land areas. Abundant metal-based molecular catalysts offer scalability, but only if they match noble metal activities. We report on a highly active p-GaInP2 photocathode protected through a 35-nm TiO2 layer functionalized by a cobaloxime molecular catalyst (GaInP2–TiO2–cobaloxime). This photoelectrode mediates H2 production with a current density of ∼9 mA cm−2 at a potential of 0 V versus RHE under 1-sun illumination at pH 13. The calculated turnover number for the catalyst during a 20-h period is 139,000, with an average turnover frequency of 1.9 s−1. Bare GaInP2 shows a rapid current decay, whereas the GaInP2–TiO2–cobaloxime electrode shows ≤5% loss over 20 min, comparable to a GaInP2–TiO2–Pt catalyst particle-modified interface. The activity and corrosion resistance of the GaInP2–TiO2–cobaloxime photocathode in basic solution is made possible by an atomic layer-deposited TiO2 and an attached cobaloxime catalyst."
756,Chemical vapour deposition of zeolitic imidazolate framework thin films,2015-12-14,"Integrating metal–organic frameworks (MOFs) in microelectronics has disruptive potential because of the unique properties of these microporous crystalline materials. Suitable film deposition methods are crucial to leverage MOFs in this field. Conventional solvent-based procedures, typically adapted from powder preparation routes, are incompatible with nanofabrication because of corrosion and contamination risks. We demonstrate a chemical vapour deposition process (MOF-CVD) that enables high-quality films of ZIF-8, a prototypical MOF material, with a uniform and controlled thickness, even on high-aspect-ratio features. Furthermore, we demonstrate how MOF-CVD enables previously inaccessible routes such as lift-off patterning and depositing MOF films on fragile features. The compatibility of MOF-CVD with existing infrastructure, both in research and production facilities, will greatly facilitate MOF integration in microelectronics. MOF-CVD is the first vapour-phase deposition method for any type of microporous crystalline network solid and marks a milestone in processing such materials."
757,Correlated metals as transparent conductors,2015-12-14,"The fundamental challenge for designing transparent conductors used in photovoltaics, displays and solid-state lighting is the ideal combination of high optical transparency and high electrical conductivity. Satisfying these competing demands is commonly achieved by increasing carrier concentration in a wide-bandgap semiconductor with low effective carrier mass through heavy doping, as in the case of tin-doped indium oxide (ITO). Here, an alternative design strategy for identifying high-conductivity, high-transparency metals is proposed, which relies on strong electron–electron interactions resulting in an enhancement in the carrier effective mass. This approach is experimentally verified using the correlated metals SrVO3 and CaVO3, which, despite their high carrier concentration (>2.2 × 1022 cm−3), have low screened plasma energies (<1.33 eV), and demonstrate excellent performance when benchmarked against ITO. A method is outlined to rapidly identify other candidates among correlated metals, and strategies are proposed to further enhance their performance, thereby opening up new avenues to develop transparent conductors."
758,Self-assembled RNA-triple-helix hydrogel scaffold for microRNA modulation in the tumour microenvironment,2015-12-07,"The therapeutic potential of miRNA (miR) in cancer is limited by the lack of efficient delivery vehicles. Here, we show that a self-assembled dual-colour RNA-triple-helix structure comprising two miRNAs—a miR mimic (tumour suppressor miRNA) and an antagomiR (oncomiR inhibitor)—provides outstanding capability to synergistically abrogate tumours. Conjugation of RNA triple helices to dendrimers allows the formation of stable triplex nanoparticles, which form an RNA-triple-helix adhesive scaffold upon interaction with dextran aldehyde, the latter able to chemically interact and adhere to natural tissue amines in the tumour. We also show that the self-assembled RNA-triple-helix conjugates remain functional in vitro and in vivo, and that they lead to nearly 90% levels of tumour shrinkage two weeks post-gel implantation in a triple-negative breast cancer mouse model. Our findings suggest that the RNA-triple-helix hydrogels can be used as an efficient anticancer platform to locally modulate the expression of endogenous miRs in cancer."
759,Metal–insulator transition in films of doped semiconductor nanocrystals,2015-11-30,"To fully deploy the potential of semiconductor nanocrystal films as low-cost electronic materials, a better understanding of the amount of dopants required to make their conductivity metallic is needed. In bulk semiconductors, the critical concentration of electrons at the metal–insulator transition is described by the Mott criterion. Here, we theoretically derive the critical concentration nc for films of heavily doped nanocrystals devoid of ligands at their surface and in direct contact with each other. In the accompanying experiments, we investigate the conduction mechanism in films of phosphorus-doped, ligand-free silicon nanocrystals. At the largest electron concentration achieved in our samples, which is half the predicted nc, we find that the localization length of hopping electrons is close to three times the nanocrystals diameter, indicating that the film approaches the metal–insulator transition."
760,Design of active and stable Co–Mo–S,2015-11-30,"Three of the fundamental catalytic limitations that have plagued the electrochemical production of hydrogen for decades still remain: low efficiency, short lifetime of catalysts and a lack of low-cost materials. Here, we address these three challenges by establishing and exploring an intimate functional link between the reactivity and stability of crystalline (CoS2 and MoS2) and amorphous (CoSx and MoSx) hydrogen evolution catalysts. We propose that Co2+ and Mo4+ centres promote the initial discharge of water (alkaline solutions) or hydronium ions (acid solutions). We establish that although CoSx materials are more active than MoSx they are also less stable, suggesting that the active sites are defects formed after dissolution of Co and Mo cations. By combining the higher activity of CoSx building blocks with the higher stability of MoSx units into a compact and robust CoMoSx chalcogel structure, we are able to design a low-cost alternative to noble metal catalysts for efficient electrocatalytic production of hydrogen in both alkaline and acidic environments."
761,Stress-stiffening-mediated stem-cell commitment switch in soft responsive hydrogels,2015-11-30,"Bulk matrix stiffness has emerged as a key mechanical cue in stem cell differentiation. Here, we show that the commitment and differentiation of human mesenchymal stem cells encapsulated in physiologically soft (∼0.2–0.4 kPa), fully synthetic polyisocyanopeptide-based three-dimensional (3D) matrices that mimic the stiffness of adult stem cell niches and show biopolymer-like stress stiffening, can be readily switched from adipogenesis to osteogenesis by changing only the onset of stress stiffening. This mechanical behaviour can be tuned by simply altering the material’s polymer length whilst maintaining stiffness and ligand density. Our findings introduce stress stiffening as an important parameter that governs stem cell fate in a 3D microenvironment, and reveal a correlation between the onset of stiffening and the expression of the microtubule-associated protein DCAMKL1, thus implicating DCAMKL1 in a stress-stiffening-mediated, mechanotransduction pathway that involves microtubule dynamics in stem cell osteogenesis."
762,Hydrogels with tunable stress relaxation regulate stem cell fate and activity,2015-11-30,"Natural extracellular matrices (ECMs) are viscoelastic and exhibit stress relaxation. However, hydrogels used as synthetic ECMs for three-dimensional (3D) culture are typically elastic. Here, we report a materials approach to tune the rate of stress relaxation of hydrogels for 3D culture, independently of the hydrogel’s initial elastic modulus, degradation, and cell-adhesion-ligand density. We find that cell spreading, proliferation, and osteogenic differentiation of mesenchymal stem cells (MSCs) are all enhanced in cells cultured in gels with faster relaxation. Strikingly, MSCs form a mineralized, collagen-1-rich matrix similar to bone in rapidly relaxing hydrogels with an initial elastic modulus of 17 kPa. We also show that the effects of stress relaxation are mediated by adhesion-ligand binding, actomyosin contractility and mechanical clustering of adhesion ligands. Our findings highlight stress relaxation as a key characteristic of cell–ECM interactions and as an important design parameter of biomaterials for cell culture."
763,A small-molecule dye for NIR-II imaging,2015-11-23,"Fluorescent imaging of biological systems in the second near-infrared window (NIR-II) can probe tissue at centimetre depths and achieve micrometre-scale resolution at depths of millimetres. Unfortunately, all current NIR-II fluorophores are excreted slowly and are largely retained within the reticuloendothelial system, making clinical translation nearly impossible. Here, we report a rapidly excreted NIR-II fluorophore (∼90% excreted through the kidneys within 24 h) based on a synthetic 970-Da organic molecule (CH1055). The fluorophore outperformed indocyanine green (ICG)—a clinically approved NIR-I dye—in resolving mouse lymphatic vasculature and sentinel lymphatic mapping near a tumour. High levels of uptake of PEGylated-CH1055 dye were observed in brain tumours in mice, suggesting that the dye was detected at a depth of ∼4 mm. The CH1055 dye also allowed targeted molecular imaging of tumours in vivo when conjugated with anti-EGFR Affibody. Moreover, a superior tumour-to-background signal ratio allowed precise image-guided tumour-removal surgery."
764,A three-dimensional engineered tumour for spatial snapshot analysis of cell metabolism and phenotype in hypoxic gradients,2015-11-23,"The profound metabolic reprogramming that occurs in cancer cells has been investigated primarily in two-dimensional cell cultures, which fail to recapitulate spatial aspects of cell-to-cell interactions as well as tissue gradients present in three-dimensional tumours. Here, we describe an engineered model to assemble three-dimensional tumours by rolling a scaffold–tumour composite strip. By unrolling the strip, the model can be rapidly disassembled for snapshot analysis, allowing spatial mapping of cell metabolism in concert with cell phenotype. We also show that the establishment of oxygen gradients within samples that are shaped by oxygen-dependent signalling pathways, as well as the consequential variations in cell growth, response to hypoxic gradients extending from normoxia to severe hypoxia, and therapy responsiveness, are consistent with those of tumours in vivo. Moreover, by using liquid chromatography tandem mass spectrometry, we mapped cellular metabolism and identified spatially defined metabolic signatures of cancer cells to reveal both known and novel metabolic responses to hypoxia."
765,Thermodynamics of the hybrid interaction of hydrogen with palladium nanoparticles,2015-11-16,"Palladium–hydrogen is a prototypical metal–hydrogen system. It is therefore not at all surprising that a lot of attention has been devoted to the absorption and desorption of hydrogen in nanosized palladium particles. Several seminal articles on the interaction of H with Pd nanocubes and nanoparticles have recently been published. Although each article provides for the first time detailed data on specific aspects of hydrogen in nanoparticles, they individually do not contain enough information to draw firm conclusions about the involved mechanisms. Here, we show that the large body of data available so far in literature exhibits general patterns that lead to unambiguous conclusions about the processes involved in H absorption and desorption in Pd nanoparticles. On the basis of a remarkably robust scaling law for the hysteresis in absorption–desorption isotherms, we show that hydrogen absorption in palladium nanoparticles is consistent with a coherent interface model and is thus clearly different from bulk Pd behaviour. However, H desorption occurs fully coherently only for small nanoparticles (typically smaller than 50 nm) at temperatures sufficiently close to the critical temperature. For larger particles it is partially incoherent, as in bulk, where dilute α-PdHx and high concentration β-PdHx phases coexist."
766,A magnetic protein biocompass,2015-11-16,"The notion that animals can detect the Earth’s magnetic field was once ridiculed, but is now well established. Yet the biological nature of such magnetosensing phenomenon remains unknown. Here, we report a putative magnetic receptor (Drosophila CG8198, here named MagR) and a multimeric magnetosensing rod-like protein complex, identified by theoretical postulation and genome-wide screening, and validated with cellular, biochemical, structural and biophysical methods. The magnetosensing complex consists of the identified putative magnetoreceptor and known magnetoreception-related photoreceptor cryptochromes (Cry), has the attributes of both Cry- and iron-based systems, and exhibits spontaneous alignment in magnetic fields, including that of the Earth. Such a protein complex may form the basis of magnetoreception in animals, and may lead to applications across multiple fields."
767,Deep blue phosphorescent organic light-emitting diodes with very high brightness and efficiency,2015-10-19,"The combination of both very high brightness and deep blue emission from phosphorescent organic light-emitting diodes (PHOLED) is required for both display and lighting applications, yet so far has not been reported. A source of this difficulty is the absence of electron/exciton blocking layers (EBL) that are compatible with the high triplet energy of the deep blue dopant and the high frontier orbital energies of hosts needed to transport charge. Here, we show that N-heterocyclic carbene (NHC) Ir(III) complexes can serve as both deep blue emitters and efficient hole-conducting EBLs. The NHC EBLs enable very high brightness (>7,800 cd m−2) operation, while achieving deep blue emission with colour coordinates of [0.16, 0.09], suitable for most demanding display applications. We find that both the facial and the meridional isomers of the dopant have high efficiencies that arise from the unusual properties of the NHC ligand—that is, the complexes possess a strong metal–ligand bond that destabilizes the non-radiative metal-centred ligand-field states. Our results represent an advance in blue-emitting PHOLED architectures and materials combinations that meet the requirements of many critical illumination applications."
768,A high-specific-strength and corrosion-resistant magnesium alloy,2015-10-19,"Ultra-lightweight alloys with high strength, ductility and corrosion resistance are desirable for applications in the automotive, aerospace, defence, biomedical, sporting and electronic goods sectors. Ductility and corrosion resistance are generally inversely correlated with strength, making it difficult to optimize all three simultaneously. Here we design an ultralow density (1.4 g cm−3) Mg–Li-based alloy that is strong, ductile, and more corrosion resistant than Mg-based alloys reported so far. The alloy is Li-rich and a solute nanostructure within a body-centred cubic matrix is achieved by a series of extrusion, heat-treatment and rolling processes. Corrosion resistance from the environment is believed to occur by a uniform lithium carbonate film in which surface coverage is much greater than in traditional hexagonal close-packed Mg-based alloys, explaining the superior corrosion resistance of the alloy."
769,Design principles for maximizing photovoltage in metal-oxide-protected water-splitting photoanodes,2015-10-19,"Metal oxide protection layers for photoanodes may enable the development of large-scale solar fuel and solar chemical synthesis, but the poor photovoltages often reported so far will severely limit their performance. Here we report a novel observation of photovoltage loss associated with a charge extraction barrier imposed by the protection layer, and, by eliminating it, achieve photovoltages as high as 630 mV, the maximum reported so far for water-splitting silicon photoanodes. The loss mechanism is systematically probed in metal–insulator–semiconductor Schottky junction cells compared to buried junction p+n cells, revealing the need to maintain a characteristic hole density at the semiconductor/insulator interface. A leaky-capacitor model related to the dielectric properties of the protective oxide explains this loss, achieving excellent agreement with the data. From these findings, we formulate design principles for simultaneous optimization of built-in field, interface quality, and hole extraction to maximize the photovoltage of oxide-protected water-splitting anodes."
770,Fast diffusion of water nanodroplets on graphene,2015-10-19,"Diffusion across surfaces generally involves motion on a vibrating but otherwise stationary substrate. Here, using molecular dynamics, we show that a layered material such as graphene opens up a new mechanism for surface diffusion whereby adsorbates are carried by propagating ripples in a motion similar to surfing. For water nanodroplets, we demonstrate that the mechanism leads to exceedingly fast diffusion that is 2–3 orders of magnitude faster than the self-diffusion of water molecules in liquid water. We also reveal the underlying principles that regulate this new mechanism for diffusion and show how it also applies to adsorbates other than water, thus opening up the prospect of achieving fast and controllable motion of adsorbates across material surfaces more generally."
771,Cell-mediated fibre recruitment drives extracellular matrix mechanosensing in engineered fibrillar microenvironments,2015-10-12,"To investigate how cells sense stiffness in settings structurally similar to native extracellular matrices, we designed a synthetic fibrous material with tunable mechanics and user-defined architecture. In contrast to flat hydrogel surfaces, these fibrous materials recapitulated cell–matrix interactions observed with collagen matrices including stellate cell morphologies, cell-mediated realignment of fibres, and bulk contraction of the material. Increasing the stiffness of flat hydrogel surfaces induced mesenchymal stem cell spreading and proliferation; however, increasing fibre stiffness instead suppressed spreading and proliferation for certain network architectures. Lower fibre stiffness permitted active cellular forces to recruit nearby fibres, dynamically increasing ligand density at the cell surface and promoting the formation of focal adhesions and related signalling. These studies demonstrate a departure from the well-described relationship between material stiffness and spreading established with hydrogel surfaces, and introduce fibre recruitment as a previously undescribed mechanism by which cells probe and respond to mechanics in fibrillar matrices."
772,Enhanced energy transport in genetically engineered excitonic networks,2015-10-12,"One of the challenges for achieving efficient exciton transport in solar energy conversion systems is precise structural control of the light-harvesting building blocks. Here, we create a tunable material consisting of a connected chromophore network on an ordered biological virus template. Using genetic engineering, we establish a link between the inter-chromophoric distances and emerging transport properties. The combination of spectroscopy measurements and dynamic modelling enables us to elucidate quantum coherent and classical incoherent energy transport at room temperature. Through genetic modifications, we obtain a significant enhancement of exciton diffusion length of about 68% in an intermediate quantum-classical regime."
773,Nanosecond homogeneous nucleation and crystal growth in shock-compressed SiO,2015-10-12,"Understanding the kinetics of shock-compressed SiO2 is of great importance for mitigating optical damage for high-intensity lasers and for understanding meteoroid impacts. Experimental work has placed some thermodynamic bounds on the formation of high-pressure phases of this material, but the formation kinetics and underlying microscopic mechanisms are yet to be elucidated. Here, by employing multiscale molecular dynamics studies of shock-compressed fused silica and quartz, we find that silica transforms into a poor glass former that subsequently exhibits ultrafast crystallization within a few nanoseconds. We also find that, as a result of the formation of such an intermediate disordered phase, the transition between silica polymorphs obeys a homogeneous reconstructive nucleation and grain growth model. Moreover, we construct a quantitative model of nucleation and grain growth, and compare its predictions with stishovite grain sizes observed in laser-induced damage and meteoroid impact events."
